Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
1,115.396778666667,-88.7280683333333,-13.0345655555555,-0.0118713333333334,0.0594356666666667,-0.00613733333333338,0.165623111111111,9.745631,0.518958111111111,-24.9375,-41.8125,22.0763888888889
2,115.092425333333,-88.6650716666666,-13.6755244444444,-0.0118124444444445,0.0573612222222222,-0.00642844444444446,0.209208666666667,9.832801,0.433873666666667,-24.9375,-41.8125,22.1458333333333
3,114.788072,-88.602075,-14.3164833333333,-0.0117535555555556,0.0552867777777778,-0.00671955555555553,0.200491555555556,9.90253722222222,0.348793666666667,-24.9375,-41.8125,22.2152777777778
4,114.483718666667,-88.5390783333332,-14.9574422222221,-0.0116946666666667,0.0532123333333333,-0.00701066666666667,0.156906,9.94612222222222,0.306257,-24.9375,-41.8125,22.2847222222222
5,114.179365333333,-88.4760816666667,-15.5984011111111,-0.0116357777777778,0.0511378888888889,-0.0073017777777778,0.130755333333333,9.963556,0.331782333333333,-24.9375,-41.8125,22.3541666666667
6,113.875012,-88.4130849999999,-16.23936,-0.0115768888888889,0.0490634444444444,-0.00759288888888887,0.178699,9.963556,0.344545,-24.9375,-41.8125,22.4236111111111
7,113.570658666667,-88.3500883333332,-16.8803188888889,-0.011518,0.046989,-0.007884,0.161264555555556,9.92868844444444,0.310511222222222,-24.9375,-41.8125,22.4930555555556
8,113.266305333333,-88.2870916666666,-17.5212777777778,-0.0114591111111111,0.0449145555555556,-0.00817511111111113,0.23536,9.92433,0.344545,-24.9375,-41.8125,22.5625
9,112.961952,-88.224095,-18.1622366666666,-0.0114002222222222,0.0428401111111111,-0.00846622222222221,0.156906,9.89382,0.353052333333333,-24.4930555555556,-41.7916666666667,22.4097222222222
10,112.657598666667,-88.1610983333334,-18.8031955555555,-0.0113413333333333,0.0407656666666667,-0.00875733333333334,0.156906,9.963556,0.404096333333333,-24.4236111111111,-41.625,22.1736111111111
11,112.353245333333,-88.0981016666667,-19.4441544444444,-0.0112824444444445,0.0386912222222222,-0.00904844444444441,0.143830666666667,9.937405,0.344545,-24.375,-41.625,22.1458333333333
12,112.048892,-88.0351049999999,-20.0851133333333,-0.0112235555555556,0.0366167777777778,-0.00933955555555555,0.11768,9.885103,0.395591222222222,-24.4861111111111,-41.4861111111111,22.0763888888889
13,111.744538666667,-87.9721083333333,-20.7260722222222,-0.0111646666666667,0.0345423333333333,-0.00963066666666668,0.161265,9.841518,0.459399,-24.7291666666667,-41.2083333333333,21.7638888888889
14,111.440185333333,-87.9091116666666,-21.3670311111111,-0.0111057777777778,0.0324678888888889,-0.00992177777777781,0.248435,9.858952,0.459399,-24.8125,-41.125,21.5833333333333
15,111.135832,-87.846115,-22.00799,-0.0110468888888889,0.0303934444444444,-0.0102128888888889,0.305095888888889,9.85459388888889,0.370068111111111,-24.7638888888889,-41.125,21.5138888888889
